geoid,name,total,,,,,,,,,,,,,,,,,,,,,,,,B05006013 - Western Europe:,"B05006013 - Western Europe:, Error",B05006014 - Austria,"B05006014 - Austria, Error",B05006015 - Belgium,"B05006015 - Belgium, Error",B05006016 - France,"B05006016 - France, Error",B05006017 - Germany,"B05006017 - Germany, Error",B05006018 - Netherlands,"B05006018 - Netherlands, Error",B05006019 - Switzerland,"B05006019 - Switzerland, Error",B05006020 - Other Western Europe,"B05006020 - Other Western Europe, Error",B05006021 - Southern Europe:,"B05006021 - Southern Europe:, Error",B05006022 - Greece,"B05006022 - Greece, Error",B05006023 - Italy,"B05006023 - Italy, Error",B05006024 - Portugal,"B05006024 - Portugal, Error",B05006025 - Spain,"B05006025 - Spain, Error",B05006026 - Other Southern Europe,"B05006026 - Other Southern Europe, Error",B05006027 - Eastern Europe:,"B05006027 - Eastern Europe:, Error",B05006028 - Albania,"B05006028 - Albania, Error",B05006029 - Belarus,"B05006029 - Belarus, Error",B05006030 - Bulgaria,"B05006030 - Bulgaria, Error",B05006031 - Croatia,"B05006031 - Croatia, Error",B05006032 - Czechoslovakia (includes Czech Republic and Slovakia),"B05006032 - Czechoslovakia (includes Czech Republic and Slovakia), Error",B05006033 - Hungary,"B05006033 - Hungary, Error",B05006034 - Latvia,"B05006034 - Latvia, Error",B05006035 - Lithuania,"B05006035 - Lithuania, Error",B05006036 - Macedonia,"B05006036 - Macedonia, Error",B05006037 - Moldova,"B05006037 - Moldova, Error",B05006038 - Poland,"B05006038 - Poland, Error",B05006039 - Romania,"B05006039 - Romania, Error",B05006040 - Russia,"B05006040 - Russia, Error",B05006041 - Ukraine,"B05006041 - Ukraine, Error",B05006042 - Bosnia and Herzegovina,"B05006042 - Bosnia and Herzegovina, Error",B05006043 - Serbia,"B05006043 - Serbia, Error",B05006044 - Other Eastern Europe,"B05006044 - Other Eastern Europe, Error","B05006045 - Europe, n.e.c.","B05006045 - Europe, n.e.c., Error",B05006046 - Asia:,"B05006046 - Asia:, Error",B05006047 - Eastern Asia:,"B05006047 - Eastern Asia:, Error",B05006048 - China:,"B05006048 - China:, Error","B05006049 - China, excluding Hong Kong and Taiwan","B05006049 - China, excluding Hong Kong and Taiwan, Error",B05006050 - Hong Kong,"B05006050 - Hong Kong, Error",B05006051 - Taiwan,"B05006051 - Taiwan, Error",B05006052 - Japan,"B05006052 - Japan, Error",B05006053 - Korea,"B05006053 - Korea, Error",B05006054 - Other Eastern Asia,"B05006054 - Other Eastern Asia, Error",B05006055 - South Central Asia:,"B05006055 - South Central Asia:, Error",B05006056 - Afghanistan,"B05006056 - Afghanistan, Error",B05006057 - Bangladesh,"B05006057 - Bangladesh, Error",B05006058 - India,"B05006058 - India, Error",B05006059 - Iran,"B05006059 - Iran, Error",B05006060 - Kazakhstan,"B05006060 - Kazakhstan, Error",B05006061 - Nepal,"B05006061 - Nepal, Error",B05006062 - Pakistan,"B05006062 - Pakistan, Error",B05006063 - Sri Lanka,"B05006063 - Sri Lanka, Error",B05006064 - Uzbekistan,"B05006064 - Uzbekistan, Error",B05006065 - Other South Central Asia,"B05006065 - Other South Central Asia, Error",B05006066 - South Eastern Asia:,"B05006066 - South Eastern Asia:, Error",B05006067 - Cambodia,"B05006067 - Cambodia, Error",B05006068 - Indonesia,"B05006068 - Indonesia, Error",B05006069 - Laos,"B05006069 - Laos, Error",B05006070 - Malaysia,"B05006070 - Malaysia, Error",B05006071 - Burma,"B05006071 - Burma, Error",B05006072 - Philippines,"B05006072 - Philippines, Error",B05006073 - Singapore,"B05006073 - Singapore, Error",B05006074 - Thailand,"B05006074 - Thailand, Error",B05006075 - Vietnam,"B05006075 - Vietnam, Error",B05006076 - Other South Eastern Asia,"B05006076 - Other South Eastern Asia, Error",B05006077 - Western Asia:,"B05006077 - Western Asia:, Error",B05006078 - Iraq,"B05006078 - Iraq, Error",B05006079 - Israel,"B05006079 - Israel, Error",B05006080 - Jordan,"B05006080 - Jordan, Error",B05006081 - Kuwait,"B05006081 - Kuwait, Error",B05006082 - Lebanon,"B05006082 - Lebanon, Error",B05006083 - Saudi Arabia,"B05006083 - Saudi Arabia, Error",B05006084 - Syria,"B05006084 - Syria, Error",B05006085 - Yemen,"B05006085 - Yemen, Error",B05006086 - Turkey,"B05006086 - Turkey, Error",B05006087 - Armenia,"B05006087 - Armenia, Error",B05006088 - Other Western Asia,"B05006088 - Other Western Asia, Error","B05006089 - Asia,n.e.c.","B05006089 - Asia,n.e.c., Error",B05006090 - Africa:,"B05006090 - Africa:, Error",B05006091 - Eastern Africa:,"B05006091 - Eastern Africa:, Error",B05006092 - Eritrea,"B05006092 - Eritrea, Error",B05006093 - Ethiopia,"B05006093 - Ethiopia, Error",B05006094 - Kenya,"B05006094 - Kenya, Error",B05006095 - Other Eastern Africa,"B05006095 - Other Eastern Africa, Error",B05006096 - Middle Africa:,"B05006096 - Middle Africa:, Error",B05006097 - Cameroon,"B05006097 - Cameroon, Error",B05006098 - Other Middle Africa,"B05006098 - Other Middle Africa, Error",B05006099 - Northern Africa:,"B05006099 - Northern Africa:, Error",B05006100 - Egypt,"B05006100 - Egypt, Error",B05006101 - Morocco,"B05006101 - Morocco, Error",B05006102 - Sudan,"B05006102 - Sudan, Error",B05006103 - Other Northern Africa,"B05006103 - Other Northern Africa, Error",B05006104 - Southern Africa:,"B05006104 - Southern Africa:, Error",B05006105 - South Africa,"B05006105 - South Africa, Error",B05006106 - Other Southern Africa,"B05006106 - Other Southern Africa, Error",B05006107 - Western Africa:,"B05006107 - Western Africa:, Error",B05006108 - Cape Verde,"B05006108 - Cape Verde, Error",B05006109 - Ghana,"B05006109 - Ghana, Error",B05006110 - Liberia,"B05006110 - Liberia, Error",B05006111 - Nigeria,"B05006111 - Nigeria, Error",B05006112 - Sierra Leone,"B05006112 - Sierra Leone, Error",B05006113 - Other Western Africa,"B05006113 - Other Western Africa, Error","B05006114 - Africa, n.e.c.","B05006114 - Africa, n.e.c., Error",B05006115 - Oceania:,"B05006115 - Oceania:, Error",B05006116 - Australia and New Zealand Subregion:,"B05006116 - Australia and New Zealand Subregion:, Error",B05006117 - Australia,"B05006117 - Australia, Error",B05006118 - Other Australian and New Zealand Subregion,"B05006118 - Other Australian and New Zealand Subregion, Error",B05006119 - Fiji,"B05006119 - Fiji, Error","B05006120 - Oceania, n.e.c.","B05006120 - Oceania, n.e.c., Error",B05006121 - Americas:,"B05006121 - Americas:, Error",B05006122 - Latin America:,"B05006122 - Latin America:, Error",B05006123 - Caribbean:,"B05006123 - Caribbean:, Error",B05006124 - Bahamas,"B05006124 - Bahamas, Error",B05006125 - Barbados,"B05006125 - Barbados, Error",B05006126 - Cuba,"B05006126 - Cuba, Error",B05006127 - Dominica,"B05006127 - Dominica, Error",B05006128 - Dominican Republic,"B05006128 - Dominican Republic, Error",B05006129 - Grenada,"B05006129 - Grenada, Error",B05006130 - Haiti,"B05006130 - Haiti, Error",B05006131 - Jamaica,"B05006131 - Jamaica, Error",B05006132 - St. Vincent and the Grenadines,"B05006132 - St. Vincent and the Grenadines, Error",B05006133 - Trinidad and Tobago,"B05006133 - Trinidad and Tobago, Error",B05006134 - West Indies,"B05006134 - West Indies, Error",B05006135 - Other Caribbean,"B05006135 - Other Caribbean, Error",B05006136 - Central America:,"B05006136 - Central America:, Error",B05006137 - Mexico,"B05006137 - Mexico, Error",B05006138 - Belize,"B05006138 - Belize, Error",B05006139 - Costa Rica,"B05006139 - Costa Rica, Error",B05006140 - El Salvador,"B05006140 - El Salvador, Error",B05006141 - Guatemala,"B05006141 - Guatemala, Error",B05006142 - Honduras,"B05006142 - Honduras, Error",B05006143 - Nicaragua,"B05006143 - Nicaragua, Error",B05006144 - Panama,"B05006144 - Panama, Error",B05006145 - Other Central America,"B05006145 - Other Central America, Error",B05006146 - South America:,"B05006146 - South America:, Error",B05006147 - Argentina,"B05006147 - Argentina, Error",B05006148 - Bolivia,"B05006148 - Bolivia, Error",B05006149 - Brazil,"B05006149 - Brazil, Error",B05006150 - Chile,"B05006150 - Chile, Error",B05006151 - Colombia,"B05006151 - Colombia, Error",B05006152 - Ecuador,"B05006152 - Ecuador, Error",B05006153 - Guyana,"B05006153 - Guyana, Error",B05006154 - Peru,"B05006154 - Peru, Error",B05006155 - Uruguay,"B05006155 - Uruguay, Error",B05006156 - Venezuela,"B05006156 - Venezuela, Error",B05006157 - Other South America,"B05006157 - Other South America, Error",B05006158 - Northern America:,"B05006158 - Northern America:, Error",B05006159 - Canada,"B05006159 - Canada, Error",B05006160 - Other Northern America,"B05006160 - Other Northern America, Error"
01000US,United States,39784145,,,,,,,,,,,,,,,,,,,,,,,,982535,7245,49465,1548,31938,1389,157577,3152,617070,6091,85096,2364,38872,1512,2517,415,785929,6486,136914,3135,368699,4188,186142,4008,86683,2427,7491,582,2112210,17555,77091,3927,54575,2062,61931,2401,44002,2190,70283,2312,75479,2090,23763,1219,36317,1904,23645,1914,34081,1998,450537,6148,163431,4300,391101,6210,324216,5694,115600,4158,30509,1637,135649,3542,10311,907,11341138,34621,3596701,16814,2166563,13068,1583634,13125,216948,3728,365981,5564,334449,5826,1085151,11343,10538,1168,2933430,21578,60314,3221,166513,4489,1837838,13080,353169,5963,24169,1344,63948,2925,301280,6673,43568,2417,47664,2556,34967,2799,3885939,19710,156508,4230,92555,2746,192469,4149,58095,2363,89553,3674,1810537,15072,29173,1498,224576,4278,1231716,12178,757,210,885131,11903,148673,4644,133074,3307,60912,2527,24373,1417,119523,3334,48916,2544,64240,2620,38627,2119,102242,3142,80972,2966,63579,2496,39937,2170,1581968,14433,457582,8110,27148,1776,164046,4941,95126,3833,171262,4756,76145,3034,36261,2289,39884,1988,275547,5972,143086,4361,58728,2224,40740,2349,32993,1857,86323,2643,83298,2667,3025,551,573711,7725,34678,1839,120785,3542,71062,2945,221077,4671,34588,2084,91521,3397,112660,4479,225497,4398,103720,2761,74478,2309,29242,1360,39921,2015,81856,3027,21804680,63514,20987884,65342,3670629,17824,31095,1862,51764,1736,1057346,8177,29883,1900,866618,9895,30291,1664,572896,10550,671197,7987,21478,1399,231678,4954,32868,1694,73515,2774,14620189,63380,11599653,52987,46717,2299,83034,3133,1201972,14118,822947,12416,502827,10225,250186,7030,104080,3132,8773,1217,2697066,17518,170120,4188,77321,3103,332250,6598,92948,2925,648594,9116,428747,8658,257272,5598,419363,7553,47254,2576,182342,5030,40855,1852,816796,7300,808772,7175,8024,861
04000US06,California,10104706,,,,,,,,,,,,,,,,,,,,,,,,159655,2794,8228,692,4764,443,33350,1393,84711,2192,18811,957,9374,606,417,200,86176,2348,11766,828,31581,1281,28301,1442,12946,943,1582,275,249168,5253,1664,404,8013,961,9034,821,6078,550,9420,796,12600,876,3427,418,3117,453,547,205,6847,829,21845,1500,25876,1541,61657,2332,54487,2550,5523,897,3501,561,15532,975,1461,297,3653615,14469,1181976,9188,736198,7765,473081,6177,94307,2497,168810,4142,105599,2967,337049,6107,3130,638,653879,8654,25146,2239,11865,1408,351568,5634,198492,4259,3258,691,6246,956,38714,2396,11740,1155,4640,723,2210,511,1567570,11430,57780,2439,38706,1846,56532,2319,13875,935,23826,1803,813784,8908,9522,874,66358,2476,487004,6481,183,83,242554,5311,35539,2483,31148,1811,13079,1073,4605,617,31529,1897,6092,928,20178,1362,5802,918,14705,1191,67571,2718,12306,1276,7636,882,155002,3852,49333,2322,5199,622,18985,1688,10293,989,14856,1122,4460,600,1673,432,2787,447,45219,2088,30775,1881,6103,626,2453,598,5888,810,15973,1045,15713,1048,260,148,30839,1955,107,64,4529,706,2220,416,19207,1711,1881,463,2895,561,9178,1134,74732,2264,25701,1333,17445,1044,8256,727,31834,1987,17197,1196,5554555,19239,5424127,19596,70020,2802,619,182,843,202,35933,1685,411,170,4485,633,445,208,3684,650,13850,1115,234,94,6337,762,1287,324,1892,341,5112306,21244,4268360,20582,17912,1372,12435,1165,414047,7161,263087,5783,58499,2667,65059,3128,10264,941,2643,540,241801,5058,32255,1769,10295,1270,31388,1761,15431,1081,38722,1782,24855,1564,3247,502,68715,2861,2976,559,10035,917,3882,582,130428,2523,129856,2526,572,166
001,"Alameda County, CA",463889,,,,,,,,,,,,,,,,,,,,,,,,8037,717,442,131,156,84,2234,386,3776,466,973,239,352,113,104,150,5450,525,621,185,1390,247,2671,501,687,197,81,44,9047,868,83,73,404,238,135,71,200,111,395,115,402,149,249,130,142,140,34,31,125,108,1028,283,1264,348,2329,401,969,270,632,230,80,65,576,153,82,73,271146,2719,103636,3118,85550,3075,61181,2900,11285,876,13084,1187,4916,553,12440,1021,730,324,65314,2873,5751,874,629,223,49713,2247,3497,631,101,94,925,321,3399,680,623,231,212,200,464,363,96637,2602,3028,610,1847,392,1863,507,1026,249,3073,675,53480,2251,686,162,2749,472,28854,1760,31,33,5195,653,308,177,1106,282,329,148,254,121,750,225,99,68,83,60,946,403,547,190,294,187,479,156,364,182,10276,1037,4843,718,1129,418,2216,493,924,321,574,175,478,239,254,166,224,177,1873,469,970,323,334,155,96,62,473,245,445,132,413,131,32,34,1960,381,0,30,180,95,246,171,1169,307,72,72,293,120,677,290,7286,740,971,224,555,171,416,137,4705,765,1610,403,145345,2483,140289,2469,2386,411,48,37,47,38,505,202,22,33,242,142,26,43,84,58,815,249,0,30,439,203,78,80,80,102,127525,2473,103681,3191,364,139,250,145,12030,1407,5922,948,1579,470,3325,568,328,151,46,33,10378,1181,859,214,381,198,2121,471,637,205,1281,342,604,337,327,152,3180,624,73,50,649,246,266,134,5056,466,5026,467,30,41
003,"Alpine County, CA",57,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,13,0,13,0,13,4,6,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,9,9,3,7,3,7,3,7,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,6,6,0,13,2,4,0,13,0,13,0,13,0,13,0,13,0,13,4,5,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,29,35,29,35,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,9,3,9,0,13,0,13,2,3,0,13,0,13,0,13,0,13,0,13,24,35,0,13,0,13,0,13,0,13,0,13,0,13,0,13,24,35,0,13,0,13,0,13,0,13,0,13,0,13
005,"Amador County, CA",2148,,,,,,,,,,,,,,,,,,,,,,,,307,111,19,30,62,75,9,13,188,115,15,20,14,22,0,27,29,30,9,16,7,10,13,24,0,27,0,27,257,281,0,27,0,27,0,27,9,16,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,248,281,0,27,0,27,0,27,0,27,0,27,377,86,110,61,64,50,39,42,25,33,0,27,46,41,0,27,0,27,26,33,0,27,0,27,26,33,0,27,0,27,0,27,0,27,0,27,0,27,0,27,207,67,62,57,0,27,5,9,0,27,0,27,45,36,16,21,33,37,46,42,0,27,34,55,0,27,0,27,0,27,0,27,0,27,0,27,12,19,0,27,0,27,22,36,0,27,0,27,51,42,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,28,25,7,12,15,19,0,27,6,11,23,38,23,38,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,2,4,2,4,2,4,0,27,0,27,0,27,981,207,882,191,8,10,0,27,0,27,8,10,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,838,187,749,167,0,27,9,29,59,76,12,15,0,27,5,7,4,7,0,27,36,34,20,24,0,27,0,27,0,27,0,27,6,12,0,27,10,21,0,27,0,27,0,27,99,71,99,71,0,27
007,"Butte County, CA",17140,,,,,,,,,,,,,,,,,,,,,,,,772,198,56,48,10,15,120,78,423,148,72,59,91,84,0,30,168,93,0,30,55,46,35,32,59,61,19,31,453,192,0,30,0,30,69,100,0,30,0,30,0,30,0,30,14,21,0,30,0,30,16,26,224,190,95,79,5,10,30,44,0,30,0,30,38,54,5659,488,1185,258,763,213,487,168,130,79,146,84,232,131,190,117,0,30,871,403,8,13,0,30,408,208,131,134,0,30,0,30,84,60,206,268,34,70,0,30,3295,476,65,52,98,80,943,197,49,53,16,26,557,150,2,4,1127,363,438,197,0,30,308,160,77,103,0,30,13,22,0,30,0,30,62,67,61,64,0,30,0,30,49,67,46,70,0,30,151,96,25,24,14,21,3,5,7,11,1,3,0,30,0,30,0,30,49,44,21,33,10,15,0,30,18,29,35,45,35,45,0,30,42,69,0,30,32,68,0,30,10,16,0,30,0,30,0,30,138,90,59,59,47,52,12,19,50,52,29,31,8891,591,8217,564,117,116,0,30,0,30,18,44,0,30,0,30,0,30,13,19,86,107,0,30,0,30,0,30,0,30,7887,560,7347,553,0,30,0,30,332,150,138,88,5,9,42,60,23,27,0,30,213,132,18,28,0,30,36,55,12,18,21,30,0,30,0,30,66,96,25,36,35,54,0,30,674,218,674,218,0,30
009,"Calaveras County, CA",1961,,,,,,,,,,,,,,,,,,,,,,,,211,113,0,27,0,27,0,27,201,112,0,27,10,16,0,27,38,49,0,27,9,16,0,27,29,48,0,27,103,90,0,27,0,27,49,78,14,23,16,23,0,27,0,27,0,27,0,27,0,27,0,27,0,27,16,28,0,27,0,27,0,27,8,14,0,27,478,180,94,104,28,46,0,27,0,27,28,46,66,100,0,27,0,27,60,80,0,27,0,27,15,25,45,75,0,27,0,27,0,27,0,27,0,27,0,27,216,139,0,27,0,27,69,96,0,27,0,27,147,122,0,27,0,27,0,27,0,27,98,122,0,27,41,63,15,36,0,27,0,27,0,27,0,27,0,27,36,55,6,13,0,27,10,23,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,34,33,34,33,34,33,0,27,0,27,0,27,919,229,722,219,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,632,210,569,203,0,27,0,27,18,29,0,27,26,31,6,11,13,24,0,27,90,81,27,54,0,27,4,7,0,27,9,15,0,27,0,27,50,58,0,27,0,27,0,27,197,141,197,141,0,27
011,"Colusa County, CA",5072,,,,,,,,,,,,,,,,,,,,,,,,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,33,38,0,24,6,9,27,37,0,24,0,24,17,21,0,24,0,24,0,24,0,24,0,24,13,20,0,24,0,24,0,24,0,24,4,8,0,24,0,24,0,24,0,24,0,24,0,24,0,24,162,44,65,48,4,7,4,7,0,24,0,24,42,45,19,26,0,24,32,27,0,24,0,24,32,27,0,24,0,24,0,24,0,24,0,24,0,24,0,24,65,33,7,12,7,11,0,24,0,24,0,24,46,30,0,24,0,24,5,8,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,33,35,0,24,0,24,0,24,33,35,0,24,4815,306,4791,306,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,4753,308,4626,325,11,19,0,24,98,98,18,21,0,24,0,24,0,24,0,24,38,38,8,18,0,24,0,24,0,24,0,24,0,24,0,24,30,31,0,24,0,24,0,24,24,26,24,26,0,24
013,"Contra Costa County, CA",248545,,,,,,,,,,,,,,,,,,,,,,,,4850,517,287,90,95,58,722,236,2880,371,649,174,197,94,20,32,2338,380,521,163,960,264,562,193,241,88,54,49,8875,908,0,30,104,72,790,375,123,74,242,104,504,210,110,69,123,71,0,30,71,56,968,373,480,221,2552,483,1877,499,326,175,142,118,463,204,54,65,107221,2075,30806,1529,22438,1384,14198,1219,4217,464,4023,518,2105,366,5861,980,402,253,26185,1452,2842,698,79,62,14496,1073,6308,965,167,109,676,309,1274,415,227,143,107,112,9,15,45946,1949,830,356,1337,325,2670,457,347,122,539,248,32218,1849,602,276,1488,432,5907,778,8,13,4040,787,520,298,862,356,320,147,70,55,354,162,293,273,82,63,516,291,459,216,145,131,419,219,244,124,6789,956,1633,426,176,112,498,191,462,195,497,249,245,190,138,168,107,92,1416,387,607,224,100,76,16,19,693,315,636,199,636,199,0,30,1936,511,16,34,206,141,196,147,1404,449,10,16,104,62,923,348,2949,570,823,256,501,156,322,187,1418,504,708,198,108788,2500,105096,2361,1610,315,38,44,67,65,431,151,0,30,185,109,15,19,195,171,398,188,0,30,178,100,23,38,80,52,93289,2458,69697,2437,258,156,488,235,12617,1219,4819,918,1128,350,3750,747,467,222,65,61,10197,1190,804,221,269,160,2367,664,497,213,1090,344,551,285,119,105,3974,839,26,28,293,132,207,170,3692,543,3661,546,31,36
015,"Del Norte County, CA",1819,,,,,,,,,,,,,,,,,,,,,,,,129,72,0,24,11,18,2,3,72,54,13,21,31,36,0,24,10,16,0,24,0,24,10,16,0,24,0,24,3,9,0,24,0,24,0,24,0,24,0,24,3,9,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,398,92,19,21,5,9,5,9,0,24,0,24,0,24,14,18,0,24,10,16,0,24,0,24,0,24,10,16,0,24,0,24,0,24,0,24,0,24,0,24,318,62,16,21,0,24,75,82,0,24,0,24,185,97,0,24,32,44,10,14,0,24,8,15,0,24,0,24,0,24,0,24,0,24,8,15,0,24,0,24,0,24,0,24,0,24,43,70,6,11,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,6,11,6,11,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,139,113,108,96,0,24,108,96,15,34,16,21,1065,173,1014,169,18,16,0,24,0,24,18,16,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,981,165,897,153,0,24,6,11,52,48,11,15,4,7,11,18,0,24,0,24,15,18,0,24,0,24,10,16,0,24,0,24,0,24,3,5,2,6,0,24,0,24,0,24,51,38,51,38,0,24
