county,value
ALAMEDA,736690.59
ALPINE,29411.05
AMADOR,7171.88
BUTTE,1112562.72
CALAVERAS,639727.62
COLUSA,3663.42
CONTRA COSTA,2166032.4
DEL NORTE,6129.39
EL DORADO,1154705.46
FRESNO,2300065.12
GLENN,338719.53
HUMBOLDT,810325.6
IMPERIAL,13624.8
INYO,2994
KERN,9438082.39
KINGS,1208189.73
LASSEN,479640.33
LOS ANGELES,3.299500142E7
MADERA,2397.5
MARIN,445034.87
MARIPOSA,417347
MENDOCINO,965011.23
MERCED,1427661.19
MODOC,153066.48
MONO,121833.26
MONTEREY,1441551.44
NAPA,596290.77
NEVADA,754937.8
ORANGE,4927659.3
PLACER,495221.75
PLUMAS,66174
RIVERSIDE,1402022.25
SACRAMENTO,1.989693508E7
SAN BERNARDINO,6566726.43
SAN DIEGO,2898090.28
SAN FRANCISCO,2182725.98
SAN JOAQUIN,1262237.13
SAN LUIS OBISPO,2181109.8
SAN MATEO,736782.8
SANTA BARBARA,1.355600147E7
SANTA CLARA,1034580.55
SANTA CRUZ,72216.72
SHASTA,266929.31
SIERRA,51029.5
SISKIYOU,1138541.39
SOLANO,992757.52
SONOMA,1070931.71
STANISLAUS,799281.23
SUTTER,793730.26
TEHAMA,479960
TRINITY,1996
TULARE,2199400.23
TUOLUMNE,7039
VENTURA,2.733068991E7
YOLO,742825.6
YUBA,81613.56
