Adair County,1624
Andrew County,2558
Atchison County,2533
Audrain County,1861
Barry County,2502
Barton County,3077
Bates County,3586
Benton County,1635
Bollinger County,209
Boone County,6558
Buchanan County,3085
Butler County,2566
Caldwell County,2157
Callaway County,7026
Camden County,1410
Cape Girardeau County,2849
Carroll County,769
Carter County,3531
Cass County,3910
Cedar County,898
Chariton County,1186
Christian County,2146
Clark County,3649
Clay County,7200
Clinton County,3676
Cole County,3894
Cooper County,3202
Crawford County,5382
Dade County,238
Dallas County,5705
Daviess County,3957
DeKalb County,1391
Dent County,1670
Douglas County,1642
Dunklin County,1353
Franklin County,6463
Gasconade County,799
Gentry County,233
Greene County,5694
Grundy County,1244
Harrison County,3188
Henry County,3123
Hickory County,910
Holt County,3013
Howard County,597
Howell County,6910
Iron County,384
Jackson County,9282
Jasper County,9780
Jefferson County,8254
Johnson County,4829
Knox County,491
Laclede County,8322
Lafayette County,7096
Lawrence County,2682
Lewis County,4155
Lincoln County,5343
Linn County,4086
Livingston County,1978
McDonald County,2094
Macon County,4916
Madison County,1582
Maries County,753
Marion County,3698
Mercer County,482
Miller County,3177
Mississippi County,1693
Moniteau County,1563
Monroe County,1563
Montgomery County,3485
Morgan County,2479
New Madrid County,5215
Newton County,4954
Nodaway County,3182
Oregon County,600
Osage County,707
Ozark County,1279
Pemiscot County,2101
Perry County,2997
Pettis County,2520
Phelps County,7300
Pike County,1625
Platte County,4257
Polk County,5238
Pulaski County,9873
Putnam County,813
Ralls County,2429
Randolph County,4914
Ray County,1436
Reynolds County,413
Ripley County,792
St. Charles County,15030
St. Clair County,3483
Ste. Genevieve County,3300
St. Francois County,18207
St. Louis County,5015
Saline County,3007
Schuyler County,669
Scotland County,498
Scott County,2249
Shannon County,1517
Shelby County,2202
Stoddard County,1424
Stone County,544
Sullivan County,1712
Taney County,2817
Texas County,4135
Vernon County,2181
Warren County,3529
Washington County,451
Wayne County,1624
Webster County,2990
Worth County,182
Wright County,5260
St. Louis City County,53
